id,symbol,side,timeframe,regime,score,rsi,adx,atr,entry_price,stop_loss,take_profit,rr_ratio,status,invalidation_reason,sent_at,outcome
50,XLM,SHORT,4h,MIXED,6.15,38.0,20.06,0.0018941690848319143,0.15922667,0.16309607149179195,0.1549132610453181,1.11,INVALIDATED,Régimen bajista perdido,1778713459,FAIL
49,TRX,LONG,4h,BULL_STACK,8.3,54.19,24.85,0.0012871451681331016,0.35039558,0.34789104403973675,0.35345151116607176,1.22,INVALIDATED,Confirmación macro perdida,1778695197,FAIL
47,SOL,LONG,4h,BULL_STACK,6.75,57.83,37.61,0.9266590420281784,95.18950122,93.52780687284965,97.78117187575899,1.56,INVALIDATED,Timing de entrada perdido,1778654794,FAIL
48,BTC,LONG,4h,BULL_STACK,6.75,52.48,22.39,445.1706269118506,81021.92174065,80221.85953104605,81984.73521361698,1.2,INVALIDATED,Timing de entrada perdido,1778654794,FAIL
46,TON,LONG,4h,BULL_STACK,8.05,53.85,20.9,0.08102000101579443,2.43117435,2.300705063806695,2.6507114681949266,1.68,INVALIDATED,Confirmación macro perdida,1778581791,FAIL
45,BTC,LONG,4h,BULL_STACK,8.0,61.95,29.09,591.9960603727229,80937.0,80362.5070913291,82706.81149040509,3.08,INVALIDATED,Timing de entrada perdido,1778445860,FAIL
44,BTC,LONG,4h,BULL_STACK,7.25,61.8,27.62,604.1496035841641,81348.8,80325.9307135485,82718.3631437418,1.34,INVALIDATED,Timing de entrada perdido,1778432067,FAIL
43,LINK,LONG,4h,BULL_STACK,7.05,66.46,55.36,0.1784608258702258,10.414,10.120770513433595,10.939905704177928,1.79,INVALIDATED,Timing de entrada perdido,1778359324,FAIL
41,BNB,LONG,4h,BULL_STACK,6.25,59.41,35.38,7.162884813378227,649.8,627.2534036679597,685.8745541312644,1.6,INVALIDATED,Timing de entrada perdido,1778324157,FAIL
42,XRP,LONG,4h,BULL_STACK,5.9,58.06,22.43,0.016730260948697347,1.4239,1.3626427651461723,1.5219115757661241,1.6,CLOSED,,1778324157,SUCCESS
40,XLM,LONG,4h,MIXED,5.75,60.57,22.36,0.0025732492580450763,0.16512,0.15510407566775944,0.18114547893158486,1.6,INVALIDATED,Confirmación macro perdida,1778318275,FAIL
39,BNB,LONG,4h,BULL_STACK,5.75,60.18,33.75,7.30225577605261,648.2,627.1279698015527,681.9152483175158,1.6,INVALIDATED,Reemplazada por una entrada más fresca,1778280238,FAIL
38,XRP,LONG,4h,BULL_STACK,6.55,57.26,20.69,0.017456502490586088,1.4192,1.3619891477584725,1.510737363586444,1.6,INVALIDATED,Reemplazada por una entrada más fresca,1778280237,FAIL
37,LINK,LONG,4h,BULL_STACK,6.65,59.46,48.34,0.09735058384169795,9.91041632,9.747355105747001,10.194194285580393,1.74,CLOSED,,1778246908,SUCCESS
35,BTC,LONG,4h,BULL_STACK,7.15,63.34,36.41,570.2532678285011,81490.32623764,80488.1093400432,82746.31228064408,1.25,INVALIDATED,Timing de entrada perdido,1778088525,FAIL
36,LINK,LONG,4h,BULL_STACK,6.0,69.98,46.76,0.11126784003914811,10.00037602,9.77692718672516,10.28764657250485,1.29,INVALIDATED,Timing de entrada perdido,1778088525,FAIL
34,XLM,SHORT,4h,BEAR_STACK,7.15,37.92,18.43,0.0012548009290782828,0.15849094,0.15962103436262925,0.15487788685071335,3.2,INVALIDATED,Timing de entrada perdido,1777948446,FAIL
33,ETH,LONG,4h,BULL_STACK,7.65,59.68,23.27,20.43448623763995,2353.25944459,2323.4733438222943,2417.267635653062,2.15,INVALIDATED,Timing de entrada perdido,1777928829,FAIL
32,ETH,LONG,4h,BULL_STACK,7.05,63.58,22.78,20.10319839002745,2357.68526663,2336.872646230289,2416.481311854798,2.83,INVALIDATED,Timing de entrada perdido,1777922802,FAIL
31,XLM,SHORT,4h,BEAR_STACK,7.35,40.14,18.64,0.0011136277801864361,0.15910811,0.16095264750991406,0.15614177549950864,1.61,INVALIDATED,Timing de entrada perdido,1777819610,FAIL
30,TON,LONG,4h,BULL_STACK,7.2,54.49,21.04,0.010997703336693674,1.33814843,1.3175053744135021,1.3677868740688657,1.44,INVALIDATED,Timing de entrada perdido,1777813530,FAIL
